channel_id	title	description	published_at	country	custom_url	subscriber_count	video_count	view_count
UC_x5XG1OV2P6uZZ5FSM9Ttw	Google for Developers	"Subscribe to join a community of creative developers and learn the latest in Google technology — from AI and cloud, to mobile and web.

Explore more at developers.google.com

"	2007-08-23T00:34:43Z	US	@googledevelopers	2540000	6801	405163065
UCsMica-v34Irf9KVTh6xx-g	Microsoft Developer	"Official Microsoft Developer YouTube channel! Featuring live events, tips and tutorials, product news and more to help you explore, discover, and build solutions - using your favorite languages, technologies, and open-source frameworks.

More information visit https://developer.microsoft.com 
"	2017-07-27T17:18:27Z	US	@microsoftdeveloper	648000	8300	55726155
UC5WjFrtBdufl6CZojX3D8dQ	Tesla	Electric vehicles, giant batteries & solar, AI & robotics. Tesla’s mission is to accelerate the world’s transition to sustainable energy.	2006-12-08T05:50:26Z	US	@tesla	2870000	481	350255217
